,prodouct name,prices,description,rating
0,"Samsung Galaxy F07 (Green, 64 GB)","₹6,799",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G99 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
1,"POCO C71 (Power Black, 64 GB)","₹6,199","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",3.8
2,"POCO C71 (Cool Blue, 64 GB)","₹6,199","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",3.8
3,"POCO M7 Pro 5G (Lunar Dust, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
4,"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,4.2
5,"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
6,"POCO C71 (Desert Gold, 128 GB)","₹6,799","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.1
7,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","₹12,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
8,"realme C71 (Sea Blue, 64 GB)","₹7,155",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
9,"realme C61 (Marble Black, 64 GB)","₹6,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
10,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 2MP | 16MP Front Camera7000 mAh BatterySnapdragon 6 Gen 4 Processor80W SUPERVOOC Charger1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,4.5
11,"POCO M7 5G (Mint Green, 128 GB)","₹9,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
12,"POCO C75 5G (Silver Stardust, 64 GB)","₹7,799",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
13,"vivo T4x 5G (Pronto Purple, 128 GB)","₹16,499",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,4.4
14,"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,799",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
15,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 5MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
16,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹12,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
17,"POCO F7 5G (Phantom Black, 512 GB)","₹32,999","12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera | 20MP Front Camera7550 mAh Li-Polymer + Silicon Carbon Battery8s Gen 4 ProcessorRear Camera
-50MP Sony Main Camera
-8MP Ultra-wide Camera with night mode and ultra-wide video recordingFront camera
-20MP with Portrait Mode | | Front Video Recording | Night ModeDisplay
-6.83 inch 1.5K pOLED with 120 Hz refresh rateBattery
7550mAh, 90W charger, 22.5W reverse charging1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.4
18,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)","₹21,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 2MP | 16MP Front Camera7000 mAh BatterySnapdragon 6 Gen 4 Processor80W SUPERVOOC Charger1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,4.5
19,"IQOO Z10X 5G (Titanium, 128 GB)","₹14,868",6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
20,"Ai+ Pulse (Black, 128 GB)","₹6,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,4
21,"MOTOROLA g05 (Forest Green, 64 GB)","₹7,299",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5100 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.2
22,"vivo T4x 5G (Marine Blue, 256 GB)","₹18,499",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,4.4
23,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
24,"Ai+ Pulse (Pink, 64 GB)","₹5,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,4.3
25,"REDMI Note 14 SE 5G (Titan Black, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,4.3
26,"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP AI Dual Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
27,"realme P3x 5G (Stellar Pink, 128 GB)","₹11,999",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
28,"MOTOROLA Edge 60 Stylus (PANTONE Gibraltar Sea, 256 GB)","₹19,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Mobile Processor Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
29,"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹12,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,4.3
30,"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","₹11,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
31,"POCO C75 5G (Enchanted Green, 128 GB)","₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
32,"realme P3x 5G (Midnight Blue, 128 GB)","₹12,999",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
33,"OnePlus Nord 5 5G (Dry Ice, 256 GB)","₹32,133",8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 50MP Front Camera6800 mAh BatteryQualcomm® Snapdragon™ 8s Gen 3 Mobile Platform Processor1 Year,4.5
34,"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹31,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
35,"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹17,499",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,4.4
36,"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","₹11,890",4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,4.2
37,"realme 15x 5G (Maroon Red, 128 GB)","₹17,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.27 cm (6.8 inch) Display50MP Rear Camera | 50MP Front Camera7000 mAh BatteryDimensity 6300 6nm Octa-core chipset Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
38,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
39,"CMF by Nothing Phone 2 Pro (White, 128 GB)","₹17,499",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,4.4
40,"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)","₹7,142",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) HD+ Display13MP Rear Camera6300 mAh Battery1 year brand Warranty,4.3
41,"realme 15x 5G (Marine Blue, 128 GB)","₹17,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.27 cm (6.8 inch) Display50MP Rear Camera | 50MP Front Camera7000 mAh BatteryDimensity 6300 6nm Octa-core chipset Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
42,"POCO M7 Pro 5G (Olive Twilight, 256 GB)","₹14,499",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
43,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)","₹14,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
44,"REDMI A4 5G only on Jio SIM (Starry Black, 64 GB)","₹8,338",4 GB RAM | 64 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,4.3
45,"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP AI Dual Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
46,"Samsung M36 5G (Light Green, 128 GB)","₹14,538",6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Warranty,4.2
47,"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)","₹20,499",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 5MP | 13MP Front Camera5000 mAh BatteryExynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
48,"REDMI Note 14 SE 5G (Mystique White, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,4.3
49,"POCO M7 Plus 5G (Carbon Black, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP AI Dual Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
50,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)","₹40,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
51,"vivo T4x 5G (Marine Blue, 128 GB)","₹15,499",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,4.4
52,"MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)","₹16,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera7000 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
53,"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
54,"POCO M7 Pro 5G (Olive Twilight, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
55,"POCO F7 5G (Cyber Silver Edition, 512 GB)","₹32,999","12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera | 20MP Front Camera7550 mAh Li-Polymer + Silicon Carbon Battery8s Gen 4 ProcessorRear Camera
-50MP Sony Main Camera
-8MP Ultra-wide Camera with night mode and ultra-wide video recordingFront camera
-20MP with Portrait Mode | | Front Video Recording | Night ModeDisplay
-6.83 inch 1.5K pOLED with 120 Hz refresh rateBattery
7550mAh, 90W charger, 22.5W reverse charging1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.4
56,"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)","₹16,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Super HD Display50MP + 8MP | 32MP Front Camera6720 mAh BatteryDimensity 7400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
57,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹33,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
58,"vivo T4x 5G (Pronto Purple, 128 GB)","₹15,499",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,4.4
59,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","₹13,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
60,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
61,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)","₹19,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5500 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
62,"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹17,999",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year,4.4
63,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
64,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)","₹14,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
65,Nokia 105 Classic without Charger,"₹1,009",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP Front Camera800 mAh BatterySC6531E Processor1 Month Company Domestic Warranty by Company Authorized Service Center.,3.8
66,HOTLINE Power,₹549,32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera3000 mAh Battery3 Months Manufacturer warranty,3.9
67,"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹16,999",6 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 13MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,4.4
68,"MOTOROLA g06 power (Tapestry, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
